feature,human_mean,human_std,llm_mean,llm_std,diff_mean,diff_std,t_statistic,t_pvalue,wilcoxon_statistic,wilcoxon_pvalue,cohens_d,n,t_pvalue_bonf,significant_bonf
word_count,194.6,55.8881024906017,323.13,36.937692131480006,128.53,61.666920630107676,-20.738141938106786,8.261304984673736e-38,1.0,4.006432399508162e-18,2.0738141938106787,100,8.261304984673736e-37,True
sentence_count,12.35,7.730944314894526,19.37,10.861542247765739,7.02,9.360534172791636,-7.461979925025324,3.344577575602337e-11,665.5,7.283947502354389e-10,0.7461979925025324,100,3.3445775756023373e-10,True
avg_word_length,5.435423612013525,0.4573550773905171,6.058179233926155,0.52469332558424,0.6227556219126318,0.5872355445137832,-10.551711761651463,6.868603171936395e-18,359.0,9.518928078849154e-14,1.0551711761651463,100,6.868603171936394e-17,True
avg_sentence_length,21.323268008316195,14.604162644474425,30.017874573994522,37.13221616299622,8.694606565678328,34.631015436143116,-2.4980567836327188,0.014135211109524707,1930.0,0.04077572901549266,0.24980567836327186,100,0.14135211109524706,False
type_token_ratio,0.7188837662575064,0.06361765872768432,0.6447412497035302,0.05454866356428155,-0.07414251655397609,0.0695708808014177,10.603699662398487,5.294048501558662e-18,132.0,1.905059820296527e-16,-1.0603699662398485,100,5.294048501558662e-17,True
flesch_reading_ease,38.77154481734813,21.569853174337837,6.3922701588052435,41.41597148623671,-32.37927465854288,39.24383721534269,8.209434600161737,8.525083120328202e-13,202.0,1.3800602760081443e-15,-0.8209434600161738,100,8.525083120328201e-12,True
flesch_kincaid_grade,13.423451561707143,5.613967818001695,19.602852876207507,13.528717037535788,6.179401314500361,12.841547488438328,-4.787917252421194,5.9086041650765915e-06,731.0,6.900418675687949e-10,0.47879172524211944,100,5.9086041650765915e-05,True
formal_word_ratio,0.000842221413360308,0.001998603894387583,0.002217587547361166,0.00196464424312787,0.001375366134000858,0.002723541780936578,-5.024604484981172,2.2408782450905895e-06,497.0,2.1555625567240454e-05,0.5024604484981172,100,2.2408782450905896e-05,True
bullet_points,8.46,5.701613806634048,18.62,7.003970302621221,10.16,7.0266919670638766,-14.386673570418889,5.348932293928303e-26,93.0,2.0342334843397966e-16,1.4386673570418889,100,5.348932293928304e-25,True
logical_connectors,0.11,0.31288975694324034,0.03,0.1705872210923198,-0.08,0.36551333764994126,2.177731611117376,0.03180126408184736,22.5,0.03250944464571951,-0.21777316111173756,100,0.3180126408184736,False
